,date,open,close,high,low,adj close,volume
0,2012-01-03,20.74003791809082,20.844402313232425,20.872865676879883,20.7210636138916,14.119312286376951,53124340.0
1,2012-01-04,20.796964645385746,20.65464973449707,20.82542610168457,20.63567352294922,13.990775108337402,31912485.0
2,2012-01-05,20.60721015930176,20.493358612060547,20.60721015930176,20.294118881225582,13.88152313232422,52764821.0
3,2012-01-06,20.60721015930176,20.46489524841309,20.66413688659668,20.45540809631348,13.862241744995115,31613571.0
4,2012-01-09,20.45540809631348,20.70208740234375,20.7210636138916,20.4079704284668,14.022911071777344,41786041.0
5,2012-01-10,20.81593894958496,20.81593894958496,20.872865676879883,20.6831111907959,14.10002613067627,29227420.0
6,2012-01-11,20.76850128173828,20.77798843383789,20.844402313232425,20.645160675048828,14.074317932128906,30317467.0
7,2012-01-12,20.82542610168457,20.863378524780277,20.872865676879883,20.75901222229004,14.132159233093262,28835648.0
8,2012-01-13,20.81593894958496,20.7210636138916,20.82542610168457,20.58823585510254,14.035762786865234,30636829.0
9,2012-01-17,20.863378524780277,20.81593894958496,21.034156799316406,20.76850128173828,14.10002613067627,37463376.0
10,2012-01-18,20.82542610168457,20.844402313232425,20.872865676879883,20.645160675048828,14.119312286376951,36335385.0
11,2012-01-19,20.77798843383789,20.7210636138916,20.7874755859375,20.483871459960938,14.035762786865234,36785549.0
12,2012-01-20,20.76850128173828,20.77798843383789,20.92030334472656,20.616697311401367,14.074317932128906,41954892.0
13,2012-01-23,20.81593894958496,20.59772300720215,20.863378524780277,20.521821975708008,13.952210426330566,35547415.0
14,2012-01-24,20.50284576416016,20.55028533935547,20.55977249145508,20.417457580566406,13.920074462890623,26784880.0
15,2012-01-25,20.4079704284668,20.60721015930176,20.63567352294922,20.370019912719727,13.958640098571776,36653272.0
16,2012-01-26,20.65464973449707,20.521821975708008,20.6831111907959,20.388994216918945,13.900803565979004,142995864.0
17,2012-01-27,20.493358612060547,20.379507064819336,20.493358612060547,20.351043701171875,13.804400444030762,140047931.0
18,2012-01-30,20.294118881225582,20.47438240051269,20.47438240051269,20.18975257873535,13.86866855621338,76210419.0
19,2012-01-31,20.616697311401367,20.30360412597656,20.67362403869629,20.132827758789062,13.752985954284668,58525247.0
20,2012-02-01,20.16128921508789,20.21821594238281,20.426944732666016,20.11385154724121,13.845170974731444,47106844.0
21,2012-02-02,20.142314910888672,20.02846336364746,20.21821594238281,19.734344482421875,13.715229034423828,60616067.0
22,2012-02-03,20.1043643951416,20.11385154724121,20.16128921508789,19.97153663635254,13.773699760437012,43372311.0
23,2012-02-06,20.04743766784668,19.876659393310547,20.094877243041992,19.800758361816406,13.611271858215332,33828235.0
24,2012-02-07,19.800758361816406,19.97153663635254,20.01897430419922,19.734344482421875,13.676244735717772,39394199.0
25,2012-02-08,19.92409896850586,19.93358612060547,20.0,19.781784057617188,13.650256156921388,36091173.0
26,2012-02-09,19.97153663635254,20.05692672729492,20.16128921508789,19.92409896850586,13.734719276428224,30503287.0
27,2012-02-10,19.92409896850586,19.97153663635254,19.98102569580078,19.829221725463867,13.676244735717772,28363245.0
